area #	Right/wrong	answer leader	Text	Image file name	alt text	Big text	Button 1	Button 2	Notes
1			Computers are powerful tools that help you do many things. But you need to take care of them so they keep working.	iStock-1460008014.jpg	null		next	0	
1			Here's an easy first question: is it good or bad practice to spill liquid on your computer and then drop it on the ground?	iStock-646367282.jpg	null		Good practice	Bad practice	
1	w	Oops.	Always keep your computer safe. Make sure your computer is dry and doesn't fall onto the floor. Both of those things can destroy a computer.	iStock-1426494949.jpg	null		next	0	
1	r	That's right!	Always keep your computer safe. Make sure your computer is dry and doesn't fall onto the floor. Both of those things can destroy a computer.	iStock-1426494949.jpg	null		next	0	
2			"Is it good or bad practice to keep your computer charged, and to close applications you're not using?"	iStock-92032837.jpg	null		Good practice	Bad practice	
2	r	That's right!	"Even though a computer is powerful, it won't work without being charged – and having too many applications open at once can slow it down. When you can, charge your computer, and close applications you're not using."	iStock-1604023472.jpg	null		next	0	
2	w	Oops.	"Even though a computer is powerful, it won't work without being charged – and having too many applications open at once can slow it down. When you can, charge your computer, and close applications you're not using."	iStock-1604023472.jpg	null		next	0	
2			"When your computer is all charged, you can take it with you wherever you go. You might want to use it in a library, cafe, restaurant, or somewhere where they offer free wi-fi to connect to the internet."	iStock-1474811525.jpg	null		next	0	
3			Is public wi-fi safe to use?	iStock-1452764299.jpg	null		It's USUALLY safe to use public wi-fi	It's NEVER safe to use public wi-fi	
3	r	That's right!	"Public wi-fi is usually safe to use, as long as you only visit secure websites with addresses that start with HTTPS. Save private things – like health care, banking, and shopping – for when you're at home."	TGH_illustrations_url blurred.png	null		next	0	
3	w	Oops.	"Public wi-fi is usually safe to use, as long as you only visit secure websites with addresses that start with HTTPS. Save private things – like health care, banking, and shopping – for when you're at home."	TGH_illustrations_url blurred.png	null		next	0	
4			One thing you will probably do on your computer is stay in touch with people through email and direct messaging.	iStock-1313261640.jpg	null		next	0	
4			What's the difference between email and direct messaging?	TGH_illustrations_email-texting-icons.png	null		Email is like writing a letter. Direct messaging is like talking to someone.	Email is only for paying bills. Direct messaging is mainly for sending photos.	
4	r	That's right!	Email and direct messaging are different in two main ways.	TGH_illustrations_email-texting-icons.png	null		next	0	
4	w	Oops.	Email and direct messaging are different in two main ways.	TGH_illustrations_email-texting-icons.png	null		next	0	
4			"Email is for longer messages, and is often used in the workplace. Email is usually answered within a day or two. "	TGH_illustrations_email-inbox.png	"An email inbox with a shopping email highlighted. The subject line reads, ""Your order is arriving soon!"""		next	0	
4			"Direct messaging is more like a conversation with friends and family. It's faster than email, with messages being answered very quickly. Both email and direct messaging can be used to send words, photos, and documents."	TGH_illustrations_texting.png	"A closeup of a text conversation between John and another person, who are planning to meet "		next	0	
4			"Both email and direct messaging are great ways to keep in touch, and almost everyone uses them. But because they're so popular, they're ALSO popular with scammers who want to trick you into giving them information or money. To do so, scammers may send you fake emails."	iStock-1472120250.jpg	null		next	0	
5			"Scamming with fake emails is called PHISHING (which is pronounced like FISHING). Scammers send out thousands of emails, and only need to have one or two people ""bite"" to make it worth their while."	TGH_illustrations_phishing.png	null		next	0	
5			Scammers know that people like to...			"1. Get packages in the mail
2. Save money with special deals
3. Help others
4. Take care of a problem – especially if it seems urgent

So these are often seen in phishing scams."			
6			"Online safety is very important, so let's take a closer look at some REAL phishing scams so that you can recognize them and protect yourself."	TGH_illustrations_phishing.png	null		next	0	
6			Let's say you get this email. Should you click on the CONTINUE button or the SCHEDULE YOUR DELIVERY button?	TGH_illustrations_fedex1.png	Closeup of an email that looks like it's from FedEx		The CONTINUE button should be safe	Neither one is safe	
6	w	Oops.	"You should never click a link in an email unless you are absolutely sure it's safe. In this case, there are warning signs that this is a scam. Let's look at some of them."	TGH_illustrations_fedex1.png	Closeup of an email that looks like it's from FedEx		next	0	
6	r	That's right!	"You should never click a link in an email unless you are absolutely sure it's safe. In this case, there are warning signs that this is a scam. Let's look at some of them."	TGH_illustrations_fedex1.png	Closeup of an email that looks like it's from FedEx		next	0	
6			"First, the name of the sender is weird. Ask yourself: why would a group called Customer Survey send an email about a shipment. (""Survey"" means a series of questions.)"	TGH_illustrations_fedex2.png	"A highlight of the sender's email account name, which is ""FedEx Customer Survey"""		next	0	
6			"Second, look at the email address of the sender. The email claims to be sent by FedEx, a company that delivers packages. But the URL doesn't even mention FedEx. In fact, it doesn't make much sense at all."	TGH_illustrations_fedex3.png	"A highlight of the sender's email address, which is 8937491@gcbt.twe.uv.eu"		next	0	
6			"And look at this part, where it says FINAL NOTICE. One things scammers do is try to make you rush without thinking. Saying something is your final notice makes it seem like something bad will happen if you don't click on these buttons right away."	TGH_illustrations_fedex4.png	null		next	0	
