area #	Right/wrong	answer leader	Text	Image file name	alt text	Big text	Button 1	Button 2	Notes
1			"You can do many things on the internet – shop, learn, email, watch movies – but something else that people spend a lot of time with is: social media."	iStock-1390895729.jpg	null		next	0	
1			What is social media?	iStock-1312425667.jpg	null		TV shows that talk about society. Like soap operas!	Places on the internet where people share content and talk about it.	
1	w	Oops.	"Social media are places on the internet where people share content and talk about it. They include Facebook, TikTok, YouTube, Instagram, and LinkedIn. Let's take a closer look at them..."	social_icons.png	null		next	0	
1	r	That's right!	"Social media are places on the internet where people share content and talk about it. They include Facebook, TikTok, YouTube, Instagram, and LinkedIn. Let's take a closer look at them..."	social_icons.png	null		next	0	
1			"FACEBOOK has text, messaging, pictures, and videos. People use Facebook to keep in touch with friends and family, join groups, read and share news, and talk about things they like."	Facebook_Interface.png	"The Facebook page for GBH, showing photos of the building, plus stories about PBS Newshour and Frontline"		next	0	
1			"YOUTUBE focuses on longer videos. People share their thoughts, show people how to do things, share clips from TV and movies, share music they've created, and pretty much anything else you can watch."	Youtube_Interface.png	"The YouTube homepage for GBH, including thumbnails for videos about travel, writers, and musicians"		next	0	
1			"YOUTUBE SHORTS, TIKTOK and INSTAGRAM REELS all show very short videos. They can be silly or serious but are usually posted to make people want to share them."	TGH_illustrations_tiktok-instagram.png	null		next	0	
1			"Many sites do more than one thing. YouTube also has live events, while Instagram also has lots of pictures and news. Facebook has places to buy and sell things. And they all have a lot of advertising and promotion."	TGH_illustrations_social-content.png	null		next	0	
1			"LINKEDIN is the only one of these to focus on jobs and careers. Many people use LinkedIn to show their work experience, and to look for work."	LinkedIn_Interface.png	"The LinkedIn profile page of Jane Wilson, a senior account executive. It shows that she works in Massachusetts, has 414 connections, attended Mass University, and shows some of her previous jobs"		next	0	
1			"On any of these platforms, you can CREATE content, just LOOK at what others have created, or WRITE comments."	iStock-1313649311.jpg	null		next	0	
2			"But along with all the fun things you can do on social media, there are many things to watch out for, too."	iStock-1178603315.jpg	null		next	0	
2			Why are these social media services mostly free?	iStock-1227157537.jpg	null		"They're not free. You ""pay"" with your private information and by seeing ads."	They're free because the government pays for them.	
2	r	That's right!	"Although you don't have to pay to use them, these services collect all the information you post, and may sell it to other companies so they can target you with specific ads."	iStock-1426362944.jpg	null		next	0	
